Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.35,-.12,-.01,-.81,-.43,-.27,-.15,-.09,-.03,.05,.64
1881,-.07,-.16,.01,-.32,.11,-.07,-.91,-.41,-.18,.10,.11,-.04,-.07,.57
1882,-.10,-.19,.00,-.28,-.04,.02,-1.40,-.23,-.12,-.05,-.04,.02,.04,.60
1883,-.16,-.26,-.06,-.31,-.16,-.01,-.19,-.52,-.22,-.17,-.15,-.03,.07,.47
1884,-.27,-.41,-.14,-.59,-.14,-.14,-1.29,-.62,-.44,-.13,-.16,-.18,-.02,.62
1885,-.32,-.41,-.24,-.63,-.12,-.27,-1.47,-.64,-.44,-.05,-.19,-.33,-.15,.79
1886,-.30,-.41,-.20,-.54,-.19,-.21,-1.55,-.45,-.39,-.20,-.17,-.19,-.20,.56
1887,-.35,-.41,-.28,-.50,-.29,-.28,-1.72,-.46,-.28,-.28,-.29,-.27,-.26,.29
1888,-.16,-.21,-.12,-.39,.10,-.29,-1.27,-.37,-.23,.08,.12,-.30,-.22,.13
1889,-.10,-.16,-.04,-.27,.08,-.16,-.65,-.18,-.27,.03,.14,-.15,-.15,.42
1890,-.34,-.37,-.32,-.44,-.36,-.22,-1.09,-.53,-.26,-.26,-.47,-.17,-.27,.12
1891,-.22,-.25,-.19,-.42,-.07,-.21,-1.12,-.31,-.36,.02,-.16,-.17,-.24,-.19
1892,-.27,-.38,-.15,-.43,-.29,-.08,-1.16,-.63,-.17,-.31,-.26,.03,-.21,.06
1893,-.31,-.47,-.15,-.51,-.35,-.04,-.72,-.52,-.47,-.40,-.31,.07,-.20,-.07
1894,-.30,-.37,-.21,-.32,-.33,-.24,-.97,-.29,-.18,-.47,-.18,-.14,-.35,-.41
1895,-.22,-.28,-.15,-.38,-.06,-.26,-.66,-.48,-.26,-.12,.00,-.19,-.32,-.61
1896,-.10,-.18,-.03,-.34,.11,-.15,-.90,-.33,-.22,.07,.14,-.15,-.13,.22
1897,-.10,-.15,-.05,-.34,.18,-.23,-.56,-.43,-.23,.15,.20,-.19,-.27,.37
1898,-.26,-.26,-.26,-.32,-.21,-.26,-1.11,-.16,-.23,-.17,-.27,-.27,-.21,.35
